Date,High,Low,Close,Adj Close,Volume,Open
2/28/1984,0.484375,0.448661,0.455357,0.359824,42481600,0.482143
2/29/1984,0.479911,0.450893,0.46875,0.370406,33510400,0.455357
3/1/1984,0.484375,0.457589,0.482143,0.38099,33090400,0.46875
3/2/1984,0.5,0.479911,0.486607,0.384517,47812800,0.482143
3/5/1984,0.488839,0.470982,0.477679,0.377462,18401600,0.486607
3/6/1984,0.486607,0.457589,0.459821,0.363351,24746400,0.477679
3/7/1984,0.475446,0.448661,0.473214,0.373934,24141600,0.459821
3/8/1984,0.484375,0.473214,0.479911,0.379226,32446400,0.473214
3/9/1984,0.479911,0.46875,0.470982,0.37217,16514400,0.479911
3/12/1984,0.491071,0.473214,0.488839,0.386281,31259200,0.473214
3/13/1984,0.495536,0.477679,0.482143,0.38099,38220000,0.488839
3/14/1984,0.484375,0.473214,0.475446,0.375698,14901600,0.482143
3/15/1984,0.482143,0.470982,0.477679,0.377462,13820800,0.475446
3/16/1984,0.495536,0.470982,0.475446,0.375698,31175200,0.477679
3/19/1984,0.473214,0.462054,0.46875,0.370406,20647200,0.473214
3/20/1984,0.477679,0.448661,0.464286,0.366879,25132800,0.46875
3/21/1984,0.475446,0.462054,0.464286,0.366879,11916800,0.464286
3/22/1984,0.464286,0.448661,0.455357,0.359824,12796000,0.464286
3/23/1984,0.459821,0.446429,0.455357,0.359824,15282400,0.455357
3/26/1984,0.466518,0.450893,0.459821,0.363351,14240800,0.455357
3/27/1984,0.462054,0.444196,0.446429,0.352768,24824800,0.459821
3/28/1984,0.457589,0.448661,0.455357,0.359824,18872000,0.448661
3/29/1984,0.459821,0.450893,0.453125,0.35806,9794400,0.455357
3/30/1984,0.455357,0.4375,0.441964,0.34924,11435200,0.453125
4/2/1984,0.450893,0.4375,0.444196,0.351004,13664000,0.441964
4/3/1984,0.448661,0.439732,0.446429,0.352768,11026400,0.444196
4/4/1984,0.448661,0.4375,0.4375,0.345713,26919200,0.446429
4/5/1984,0.444196,0.430804,0.430804,0.340421,20703200,0.4375
4/6/1984,0.435268,0.410714,0.419643,0.331602,21397600,0.430804
4/9/1984,0.433036,0.419643,0.419643,0.331602,13563200,0.419643
4/10/1984,0.441964,0.428571,0.441964,0.34924,14274400,0.428571
4/11/1984,0.453125,0.433036,0.4375,0.345713,17651200,0.441964
4/12/1984,0.464286,0.430804,0.459821,0.363351,19600000,0.4375
4/13/1984,0.470982,0.455357,0.459821,0.363351,25849600,0.459821
4/16/1984,0.470982,0.448661,0.46875,0.370406,17029600,0.459821
4/17/1984,0.497768,0.477679,0.491071,0.388045,83238400,0.477679
4/18/1984,0.502232,0.488839,0.5,0.3951,49918400,0.491071
4/19/1984,0.506696,0.495536,0.504464,0.398628,30850400,0.5
4/23/1984,0.520089,0.5,0.506696,0.400392,73466400,0.504464
4/24/1984,0.515625,0.495536,0.497768,0.393336,70392000,0.506696
4/25/1984,0.502232,0.488839,0.493304,0.389809,48720000,0.497768
4/26/1984,0.533482,0.495536,0.53125,0.419794,79626400,0.495536
4/27/1984,0.549107,0.522321,0.537946,0.425086,92999200,0.53125
4/30/1984,0.560268,0.533482,0.560268,0.442724,73287200,0.537946
5/1/1984,0.59375,0.566964,0.59375,0.469182,101628800,0.566964
5/2/1984,0.598214,0.578125,0.589286,0.465654,79329600,0.59375
5/3/1984,0.589286,0.553571,0.564732,0.446252,81855200,0.589286
5/4/1984,0.564732,0.535714,0.537946,0.425086,65111200,0.564732
